Name,Level,ID,Rating
Cherry Chase,E,5701,10
Cumberland,E,5703,10
Fairwood,E,5705,9
Ellis,E,5704,7
Bishop,E,5700,6
Vargas,E,5709,6
Lakewood,E,5706,5
San Miguel,E,5707,4
Laurelwood,E,5634,10
Ponderosa,E,5641,9
Eisenhower,E,5434,10
Nimitz,E,5445,7
Bubb,E,5574,10
Huff,E,10862,10
Landels,E,5577,8
Castro,E,5575,7
Monda Loma,E,12071,7
Theuerkauf,E,12072,4
L. P. Collins,E,5429,10
Abraham Lincoln,E,5439,10
CB Eaton,E,5433,10
DJ Sedgwick,E,5448,10
Garden Gate,E,5436,10
Kennedy,E,5438,10
Muir,E,5444,10
Stocklmeir,E,5450,10
Stevens Creek,E,5449,10
West Valley,E,5451,10
Faria,E,5435,10
Regnart,E,5447,10
Pomeroy,E,5640,6
Sutter,E,5644,9
C. W. Haman,E,5632,7
Westwood,E,5646,7
Montague,E,5637,6
Hughes,E,5633,6
Don Callejon,E,16956,8
Bowers,E,5626,6
Briarwood,E,5629,7
Bracher,E,5627,7
Hyde,M,5437,10
Cupertino,M,5430,10
Lawson,M,14794,10
Peterson,M,5639,9
Buscher,M,5630,6
Sunnyvale,M,"5701, 5703, 5704, 5709",9
Columbia,M,"5705, 5706, 5707, 5700",6
Graham,M,5576,9
Crittenden,M,12070,8
Cabrillo,M,5631,6
Cupertino,H,5496,10
Homestead,H,5498,10
Lynbrook,H,5499,10
Monta Vista,H,5500,10
Fremont,H,5497,7
Adrian Wilcox,H,5647,9
Santa Clara,H,5642,7
Mountain View,H,"12070, 5581, 5576",10
