SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,810 Keith Ln,SANTA CLARA,CA,95054,788000,3,2.0,SANTA CLARA,1207,7155,1961,2,Garage,,Sold,,,,Sign in to see,,2015-12-18,820000.0,http://www.redfin.com/CA/Santa-Clara/810-Keith-Ln-95054/home/2120154,MLSListings Inc. (MLSLI),ML81520461,Keller Williams-Santa Cruz,N,Y,37.385572,-121.948153,false
Past Sale,Townhouse,4072 Lick Mill Blvd,SANTA CLARA,CA,95054,985800,3,2.5,SANTA CLARA,1700,2372,2004,2,Garage,,Sold,,,,Sign in to see,,2015-06-22,1030000.0,http://www.redfin.com/CA/Santa-Clara/4072-Lick-Mill-Blvd-95054/home/1050110,MLSListings Inc. (MLSLI),ML81462416,Intero Real Estate Services,N,Y,37.3974378,-121.9443556,false
Past Sale,Single Family Residential,1215 Doyle Cir,SANTA CLARA,CA,95054,1658800,4,4.0,SANTA CLARA,2645,5000,2002,2,Garage,,Sold,,,,Sign in to see,,2015-07-23,1700000.0,http://www.redfin.com/CA/Santa-Clara/1215-Doyle-Cir-95054/home/1086032,MLSListings Inc. (MLSLI),ML81464851,Century 21 Alliance Fine Homes and Estates,N,Y,37.39675,-121.953079,false
Past Sale,Single Family Residential,1220 Doyle Cir,SANTA CLARA,CA,95054,1525000,3,3.5,SANTA CLARA,2408,3920,2002,2,Garage,,Sold,,,,Sign in to see,,2015-08-25,1625000.0,http://www.redfin.com/CA/Santa-Clara/1220-Doyle-Cir-95054/home/1619256,MLSListings Inc. (MLSLI),ML81486383,Asante Real Estate- Mountain View,N,Y,37.397308,-121.953109,false
Past Sale,Townhouse,4478 Moulin Pl,SANTA CLARA,CA,95054,975000,3,2.5,SANTA CLARA,1726,2614,2005,2,Garage,,Sold,,,,Sign in to see,,2015-08-14,965000.0,http://www.redfin.com/CA/Santa-Clara/4478-Moulin-Pl-95054/home/2122755,MLSListings Inc. (MLSLI),ML81470740,Century 21 M&M and Associates,N,Y,37.397119,-121.959558,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #225,SANTA CLARA,CA,95054,729000,2,2.0,SANTA CLARA,1148,1307,2005,2,Garage,,Sold,,,,Sign in to see,,2015-07-07,748000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-225/home/2122650,MLSListings Inc. (MLSLI),ML81469769,Alliance Bay Realty,N,Y,37.396396,-121.942738,false
Past Sale,Townhouse,567 Moreland Way,SANTA CLARA,CA,95054,985000,3,2.5,SANTA CLARA,1894,1370,2004,2,Garage,,Sold,,,,Sign in to see,,2015-09-29,1115000.0,http://www.redfin.com/CA/Santa-Clara/567-Moreland-Way-95054/home/1452750,MLSListings Inc. (MLSLI),ML81486289,Prima Investment Group Inc.,N,Y,37.3964769,-121.9447623,false
Past Sale,Single Family Residential,4161 Rivermark Pkwy,SANTA CLARA,CA,95054,1688000,5,3.5,SANTA CLARA,2989,3484,2003,2,Garage,,Sold,,,,Sign in to see,,2015-10-29,1773000.0,http://www.redfin.com/CA/Santa-Clara/4161-Rivermark-Pkwy-95054/home/1604027,MLSListings Inc. (MLSLI),ML81514602,Intero Real Estate Services- Santa Clara,N,Y,37.3967268,-121.9492505,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #106,SANTA CLARA,CA,95054,565000,1,1.0,SANTA CLARA,834,871,2005,1,Garage,,Sold,,,,Sign in to see,,2015-12-30,560000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-106/home/2126055,MLSListings Inc. (MLSLI),ML81533315,Giuffre Properties,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #305,SANTA CLARA,CA,95054,565000,1,1.0,SANTA CLARA,900,900,2005,1,Garage,,Sold,,,,Sign in to see,,2015-09-25,583000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-305/home/2125037,MLSListings Inc. (MLSLI),ML81500838,Alain Pinel Realtors,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #102,SANTA CLARA,CA,95054,569888,1,1.0,SANTA CLARA,865,871,2005,1,Garage,,Sold,,,,Sign in to see,,2015-11-06,560000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-102/home/12177768,MLSListings Inc. (MLSLI),ML81498034,Coldwell Banker-The Real Estate People,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #108,SANTA CLARA,CA,95054,729000,2,2.0,SANTA CLARA,1148,1307,2005,2,Garage,,Sold,,,,Sign in to see,,2015-08-07,745000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-108/home/12177770,MLSListings Inc. (MLSLI),ML81496491,Nova Realty,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #109,SANTA CLARA,CA,95054,565000,1,1.0,SANTA CLARA,900,900,2005,1,Garage,,Sold,,,,Sign in to see,,2015-09-18,612000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-109/home/12177771,MLSListings Inc. (MLSLI),ML81498717,Silicon Valley Lofts & Condos,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #141,SANTA CLARA,CA,95054,490888,1,1.0,SANTA CLARA,834,871,2005,1,Garage,,Sold,,,,Sign in to see,,2015-07-27,562000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-141/home/12177795,MLSListings Inc. (MLSLI),ML81471454,Keller Williams Realty - Cupertino,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #150,SANTA CLARA,CA,95054,525000,1,1.0,SANTA CLARA,865,871,2005,1,Garage,,Sold,,,,Sign in to see,,2015-10-20,525000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-150/home/12177802,MLSListings Inc. (MLSLI),ML81512086,"Timothy Crofton, Inc.",N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #226,SANTA CLARA,CA,95054,777888,3,2.0,SANTA CLARA,1426,,2005,2,Garage,,Sold,,,,Sign in to see,,2015-11-30,799999.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-226/home/12177834,MLSListings Inc. (MLSLI),ML81514766,Alliance Bay Realty,N,Y,37.396396,-121.942738,false
Past Sale,Condo/Coop,3901 Lick Mill Blvd #267,SANTA CLARA,CA,95054,749900,3,2.0,SANTA CLARA,1426,1426,2005,2,Garage,,Sold,,,,Sign in to see,,2015-11-23,770000.0,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-267/home/12177863,MLSListings Inc. (MLSLI),ML81516998,"Golden Realty & Investments, Inc",N,Y,37.396396,-121.942738,false
