SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,21030 Gardena Dr,Cupertino,CA,95014,,2,1.0,95014,1215,,1949,,,,,,,,,,2015-12-23,515000,http://www.redfin.com/CA/Cupertino/21030-Gardena-Dr-95014/home/773008,,,,N,Y,37.3332539,-122.042192,
Past Sale,Single Family Residential,18831 Arata Way,CUPERTINO,CA,95014,1250000,3,1.0,CUPERTINO,990,5220,1952,0,,,Sold,,,,,1250000,2016-08-19,1200000,http://www.redfin.com/CA/Cupertino/18831-Arata-Way-95014/home/1516605,MLSListings Inc. (MLSLI),ML81593849,JPS Enterprises,N,Y,37.3205597,-122.0014286,false
Past Sale,Single Family Residential,20585 Scofield Dr,Cupertino,CA,95014,,4,3.0,95014,3324,,2002,,,,,,,,,,2016-05-23,1103000,http://www.redfin.com/CA/Cupertino/20585-Scofield-Dr-95014/home/611228,,,,N,Y,37.321354,-122.033875,
Past Sale,Townhouse,10138 Ridgeway Dr,CUPERTINO,CA,95014,1500000,3,2.5,CUPERTINO,1936,1799,1974,2,Garage,,Sold,,,,2016-02-25,1500000,2016-06-30,1475000,http://www.redfin.com/CA/Cupertino/10138-Ridgeway-Dr-95014/home/1740209,MLSListings Inc. (MLSLI),ML81561769,Intero Real Estate Services,N,Y,37.32089,-122.076364,false
Past Sale,Townhouse,20308 Pacifica Dr,CUPERTINO,CA,95014,1348000,3,2.5,CUPERTINO,1640,4268,1979,2,Garage,,Sold,,,,,1348000,2016-06-30,1422000,http://www.redfin.com/CA/Cupertino/20308-Pacifica-Dr-95014/home/1860826,MLSListings Inc. (MLSLI),ML81588277,Coldwell Banker,N,Y,37.315762,-122.030587,false
Past Sale,Townhouse,10063 Long Oak Ln,CUPERTINO,CA,95014,958888,2,2.0,CUPERTINO,1008,1860,1970,2,Garage,,Sold,,,,2016-05-26,999000,2016-07-11,990000,http://www.redfin.com/CA/Cupertino/10063-Long-Oak-Ln-95014/home/1847650,MLSListings Inc. (MLSLI),ML81584867,Intero Real Estate Services,N,Y,37.3232357,-122.0708325,false
Past Sale,Single Family Residential,10240 Stern Ave,Cupertino,CA,95014,,4,2.0,95014,1739,,1952,,,,,,,,,,2016-07-05,1450000,http://www.redfin.com/CA/Cupertino/10240-Stern-Ave-95014/home/1636134,,,,N,Y,37.319668,-122.003068,
Past Sale,Townhouse,21700 Olive Ave,CUPERTINO,CA,95014,1170000,2,2.5,CUPERTINO,1352,2225,1985,2,Garage,,Sold,,,,2016-05-17,1239000,2016-07-07,1145000,http://www.redfin.com/CA/Cupertino/21700-Olive-Ave-95014/home/1250493,MLSListings Inc. (MLSLI),ML81577352,Intero Real Estate Services,N,Y,37.3190529,-122.054414,false
Past Sale,Condo/Coop,6950 Chantel Ct,SAN JOSE,CA,95129,749000,2,2.0,SAN JOSE,997,435,1987,1,Garage,,Sold,,,,,749000,2016-07-15,765000,http://www.redfin.com/CA/San-Jose/6950-Chantel-Ct-95129/home/792813,MLSListings Inc. (MLSLI),ML81588262,Alain Pinel Realtors,N,Y,37.298518,-122.030744,false
Past Sale,Single Family Residential,6760 Bollinger Rd,SAN JOSE,CA,95129,1498000,3,2.0,SAN JOSE,1141,7560,1956,2,Garage,,Sold,,,,,1498000,2016-07-19,1598000,http://www.redfin.com/CA/San-Jose/6760-Bollinger-Rd-95129/home/1214407,MLSListings Inc. (MLSLI),ML81585530,"Centermac Realty, Inc.",N,Y,37.30941,-122.022612,false
