SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,1085 Judson Dr,Mountain View,CA,94040,1688000,3,2.0,Mountain View,1390,5863,1951,1,Garage,,Sold,,,,,1688000,2016-08-10,1720000,http://www.redfin.com/CA/Mountain-View/1085-Judson-Dr-94040/home/1483792,San Francisco Association of Realtors (SFARMLS),443667,Redfin,N,Y,37.390694,-122.099358,false
Past Sale,Townhouse,202 Montebello Ave #16,MOUNTAIN VIEW,CA,94043,849888,2,1.5,MOUNTAIN VIEW,1341,3301,1979,1,Garage,,Sold,,,,,849888,2016-02-29,908000,http://www.redfin.com/CA/Mountain-View/202-Montebello-Ave-94043/unit-16/home/820717,MLSListings Inc. (MLSLI),ML81548337,Redfin,N,Y,37.405142,-122.0944551,false
Past Sale,Single Family Residential,975 San Pierre Way,MOUNTAIN VIEW,CA,94043,1499000,4,2.0,MOUNTAIN VIEW,1574,6626,1964,2,Garage,,Sold,,,,,1499000,2015-11-09,1680000,http://www.redfin.com/CA/Mountain-View/975-San-Pierre-Way-94043/home/614150,MLSListings Inc. (MLSLI),ML81514879,Redfin,N,Y,37.406517,-122.081735,false
Past Sale,Single Family Residential,122 Avellino Way,MOUNTAIN VIEW,CA,94043,1574999,4,3.5,MOUNTAIN VIEW,1904,1995,2014,2,Garage,,Sold,,,,2016-05-18,1599000,2016-06-22,1564000,http://www.redfin.com/CA/Mountain-View/122-Avellino-Way-94043/home/55593551,MLSListings Inc. (MLSLI),ML81581028,Redfin,Y,Y,37.3920388,-122.0649859,false
Past Sale,Condo/Coop,1930 Mount Vernon Ct #8,MOUNTAIN VIEW,CA,94040,680000,2,2.0,MOUNTAIN VIEW,1000,960,1963,1,Garage,,Sold,,,,,680000,2015-10-13,775000,http://www.redfin.com/CA/Mountain-View/1930-Mount-Vernon-Ct-94040/unit-8/home/616471,MLSListings Inc. (MLSLI),ML81513858,Redfin,N,Y,37.396337,-122.095556,false
Past Sale,Condo/Coop,500 W Middlefield Rd Apt 89,Mountain View,CA,94043,,2,2.0,94043,1158,,1971,,,,,,,,,,2016-08-16,710000,http://www.redfin.com/CA/Mountain-View/500-W-Middlefield-Rd-94043/unit-89/home/1707757,,,,N,Y,37.4003794,-122.0711658,
Past Sale,Single Family Residential,1274 Mountain View Ave,San Bernardino,CA,92408,,3,1.0,92408,1205,,1947,,,,,,,,,,2016-03-03,1500000,http://www.redfin.com/CA/San-Bernardino/1274-Mountain-View-Ave-92408/home/1772733,,,,N,Y,37.382631,-122.083847,
Past Sale,Single Family Residential,1350 Phyllis Ave,MOUNTAIN VIEW,CA,94040,1449000,3,2.0,MOUNTAIN VIEW,1196,5980,1955,2,Garage,,Sold,,,,,1449000,2016-06-30,1613758,http://www.redfin.com/CA/Mountain-View/1350-Phyllis-Ave-94040/home/646568,MLSListings Inc. (MLSLI),ML81586939,Intero Real Estate Services,N,Y,37.377733,-122.078089,false
Past Sale,Single Family Residential,162 Farley St,MOUNTAIN VIEW,CA,94043,1349000,3,2.0,MOUNTAIN VIEW,1372,9374,1950,2,Garage,,Sold,,,,,1349000,2016-06-30,1400000,http://www.redfin.com/CA/Mountain-View/162-Farley-St-94043/home/1575042,MLSListings Inc. (MLSLI),ML81586942,Coldwell Banker,N,Y,37.40156,-122.090621,false
Past Sale,Condo/Coop,248 Walker Dr #10,MOUNTAIN VIEW,CA,94043,828000,2,2.0,MOUNTAIN VIEW,1288,3800,1981,1,Garage,,Sold,,,,,828000,2016-07-01,955000,http://www.redfin.com/CA/Mountain-View/248-Walker-Dr-94043/unit-10/home/1735604,MLSListings Inc. (MLSLI),ML81590640,Coldwell Banker,N,Y,37.4017484,-122.0616618,false
Past Sale,Condo/Coop,695 S Knickerbocker Dr #24,SUNNYVALE,CA,94087,699800,2,2.0,SUNNYVALE,945,1428,1986,2,Garage,,Sold,,,,,699800,2016-06-29,755000,http://www.redfin.com/CA/Sunnyvale/695-S-Knickerbocker-Dr-94087/unit-24/home/1327421,MLSListings Inc. (MLSLI),ML81577288,Intero Real Estate Services,N,Y,37.371741,-122.060009,false
Past Sale,Single Family Residential,403 Nicholas Dr,MOUNTAIN VIEW,CA,94043,1399000,4,2.5,MOUNTAIN VIEW,1925,2960,1998,2,Garage,,Sold,,,,,1399000,2016-07-01,1550000,http://www.redfin.com/CA/Mountain-View/403-Nicholas-Dr-94043/home/623997,MLSListings Inc. (MLSLI),ML81588465,Intero Real Estate Services,N,Y,37.3889165,-122.0602998,false
Past Sale,Townhouse,357 Flower Ln,MOUNTAIN VIEW,CA,94043,1245000,3,2.5,MOUNTAIN VIEW,1625,2078,1998,2,Garage,,Sold,,,,2016-06-15,1395000,2016-07-01,1245000,http://www.redfin.com/CA/Mountain-View/357-Flower-Ln-94043/home/626077,MLSListings Inc. (MLSLI),ML81585784,Sereno Group,N,Y,37.3919328,-122.0598278,false
Past Sale,Townhouse,41 Starlite Ct,MOUNTAIN VIEW,CA,94043,1000000,3,2.5,MOUNTAIN VIEW,1448,1472,1974,2,Garage,,Sold,,,,,1000000,2016-07-01,1150000,http://www.redfin.com/CA/Mountain-View/41-Starlite-Ct-94043/home/1392172,MLSListings Inc. (MLSLI),ML81587771,Alain Pinel Realtors,N,Y,37.4058319,-122.076161,false
Past Sale,Townhouse,198 Central Ave,MOUNTAIN VIEW,CA,94043,1296000,3,2.0,MOUNTAIN VIEW,1526,1685,1977,1,Garage,,Sold,,,,,1296000,2016-07-01,1300000,http://www.redfin.com/CA/Mountain-View/198-Central-Ave-94043/home/1494423,MLSListings Inc. (MLSLI),ML81587401,Sereno Group,N,Y,37.395819,-122.069316,false
Past Sale,Townhouse,1912 Montecito Ave #3,MOUNTAIN VIEW,CA,94043,938000,2,2.0,MOUNTAIN VIEW,1409,3423,1979,1,Garage,,Sold,,,,2016-05-14,979000,2016-06-30,900000,http://www.redfin.com/CA/Mountain-View/1912-Montecito-Ave-94043/unit-3/home/1197303,MLSListings Inc. (MLSLI),ML81581427,Coldwell Banker,N,Y,37.4051048,-122.0904662,false
Past Sale,Townhouse,181 Owens Ct,MOUNTAIN VIEW,CA,94043,1099000,3,2.5,MOUNTAIN VIEW,1369,1054,2006,2,Garage,,Sold,,,,2016-05-17,1179000,2016-07-01,1130000,http://www.redfin.com/CA/Mountain-View/181-Owens-Ct-94043/home/12177627,MLSListings Inc. (MLSLI),ML81582265,Intero Almaden,N,Y,37.3913141,-122.0578699,false
Past Sale,Single Family Residential,2012 Leghorn St,Mountain View,CA,94043,,1,1.0,94043,914,,1948,,,,,,,,,,2016-07-05,236500,http://www.redfin.com/CA/Mountain-View/2012-Leghorn-St-94043/home/1397469,,,,N,Y,37.4190365,-122.0922173,
