SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Townhouse,3703 Europe Ct,SANTA CLARA,CA,95051,988000,3,2.5,SANTA CLARA,1845,1751,1978,2,Garage,,Sold,,,,,988000,2016-08-26,1030000,http://www.redfin.com/CA/Santa-Clara/3703-Europe-Ct-95051/home/1566836,MLSListings Inc. (MLSLI),ML81595881,Redfin,N,Y,37.349347,-121.997903,FALSE
Past Sale,Single Family Residential,3282 Colgate Ave,SANTA CLARA,CA,95051,1150000,3,2,SANTA CLARA,1302,5488,1961,2,Garage,,Sold,,,,,1150000,2016-06-01,1275000,http://www.redfin.com/CA/Santa-Clara/3282-Colgate-Ave-95051/home/1378772,MLSListings Inc. (MLSLI),ML81580788,Redfin,N,Y,37.331142,-121.987191,FALSE
Past Sale,Single Family Residential,1821 Briarwood Dr,Santa Clara,CA,95051,,3,2,95051,2056,,1954,,,,,,,,,,2016-03-24,78000,http://www.redfin.com/CA/Santa-Clara/1821-Briarwood-Dr-95051/home/1377112,,,,N,Y,37.356298,-121.992889,
Past Sale,Single Family Residential,2681 Benton St,Santa Clara,CA,95051,,3,1,95051,900,,1955,,,,,,,,,,2015-09-30,620000,http://www.redfin.com/CA/Santa-Clara/2681-Benton-St-95051/home/1724963,,,,N,Y,37.346423,-121.975521,
Past Sale,Single Family Residential,2236 Dianne Dr,Santa Clara,CA,95050,,4,2,95050,2170,,1966,,,,,,,,,,2016-03-14,759000,http://www.redfin.com/CA/Santa-Clara/2236-Dianne-Dr-95050/home/732264,,,,N,Y,37.347549,-121.963245,
Past Sale,Single Family Residential,1799 Briarwood Dr,SANTA CLARA,CA,95051,940000,6,3,SANTA CLARA,1716,5453,1954,2,Garage,,Sold,,,,,940000,2016-04-29,915000,http://www.redfin.com/CA/Santa-Clara/1799-Briarwood-Dr-95051/home/1633380,MLSListings Inc. (MLSLI),ML81581504,Better Homes & Gardens Real EstateVentura Barnett,N,Y,37.355852,-121.993065,FALSE
Past Sale,Single Family Residential,661 Clara Vista Ave,SANTA CLARA,CA,95050,1069000,3,2.5,SANTA CLARA,1709,5400,1957,2,Garage,,Sold,,,,2016-05-13,1195000,2016-06-01,975000,http://www.redfin.com/CA/Santa-Clara/661-Clara-Vista-Ave-95050/home/1381663,MLSListings Inc. (MLSLI),ML81581394,Intero Real Estate Services,N,Y,37.338726,-121.963075,FALSE
Past Sale,Single Family Residential,2375 Cimarron Dr,SANTA CLARA,CA,95051,999999,4,2,SANTA CLARA,1608,6599,1968,2,Garage,,Sold,,,,,999999,2016-06-30,928000,http://www.redfin.com/CA/Santa-Clara/2375-Cimarron-Dr-95051/home/1093191,MLSListings Inc. (MLSLI),ML81583803,Alliant Real Estate And Financial Services Inc.,N,Y,37.3654681,-121.9661886,FALSE
Past Sale,Single Family Residential,262 N Harold Ave,SANTA CLARA,CA,95050,898000,3,2,SANTA CLARA,1141,5702,1955,2,Garage,,Sold,,,,,898000,2016-08-26,995000,http://www.redfin.com/CA/Santa-Clara/262-Harold-Ave-95050/home/1012586,MLSListings Inc. (MLSLI),ML81596141,Intero Real Estate Services,N,Y,37.329535,-121.961789,FALSE
Past Sale,Single Family Residential,4947 Rio Vista Ave,SAN JOSE,CA,95129,1498880,4,2,SAN JOSE,1793,8001,1956,2,Garage,,Sold,,,,,1498880,2016-08-26,1600000,http://www.redfin.com/CA/San-Jose/4947-Rio-Vista-Ave-95129/home/800273,MLSListings Inc. (MLSLI),ML81597873,Coldwell Banker,N,Y,37.321499,-121.989274,FALSE
Past Sale,Single Family Residential,3562 Earl Dr,Santa Clara,CA,95051,,3,2,95051,1240,,1956,,,,,,,,,,2016-07-06,1180000,http://www.redfin.com/CA/Santa-Clara/3562-Earl-Dr-95051/home/1074616,,,,N,Y,37.3624218,-121.9947788,
Past Sale,Single Family Residential,3719 Vireo Ave,SANTA CLARA,CA,95051,1690000,3,2.5,SANTA CLARA,2511,4099,1995,2,Garage,,Sold,,,,,1690000,2016-07-06,1605000,http://www.redfin.com/CA/Santa-Clara/3719-Vireo-Ave-95051/home/1613715,MLSListings Inc. (MLSLI),ML81578952,Elite Realty Services,N,Y,37.3419924,-121.9982857,FALSE
Past Sale,Single Family Residential,3751 Vireo Ave,SANTA CLARA,CA,95051,1655000,4,2.5,SANTA CLARA,2268,4100,1994,2,Garage,,Sold,,,,,1599000,2016-08-05,1570000,http://www.redfin.com/CA/Santa-Clara/3751-Vireo-Ave-95051/home/763011,MLSListings Inc. (MLSLI),ML81591217,Intero Real Estate Services,N,Y,37.3416745,-121.998825,FALSE
Past Sale,Single Family Residential,1782 Briarwood Dr,SANTA CLARA,CA,95051,999888,4,3,SANTA CLARA,1698,10323,1954,2,Garage,,Sold,,,,,999888,2016-08-09,1145000,http://www.redfin.com/CA/Santa-Clara/1782-Briarwood-Dr-95051/home/675279,MLSListings Inc. (MLSLI),ML81592363,"Gary G. Gillmor, Broker",N,Y,37.355746,-121.99381,FALSE
Past Sale,Single Family Residential,473 Norwood Cir,SANTA CLARA,CA,95051,999888,3,3,SANTA CLARA,1291,1555,2007,2,Garage,,Sold,,,,2016-07-01,1148000,2016-08-24,1020000,http://www.redfin.com/CA/Santa-Clara/473-Norwood-Cir-95051/home/12180398,MLSListings Inc. (MLSLI),ML81587209,Intero Real Estate Services,N,Y,37.330478,-121.9959247,FALSE
Past Sale,Single Family Residential,1732 Nobili Ave,SANTA CLARA,CA,95051,1329999,3,2.5,SANTA CLARA,1977,6300,2016,2,Garage,,Sold,,,,2016-07-08,1288888,2016-08-12,1330000,http://www.redfin.com/CA/Santa-Clara/1732-Nobili-Ave-95051/home/1641396,MLSListings Inc. (MLSLI),ML81588946,Amazing Realty,N,Y,37.3547,-121.988785,FALSE
Past Sale,Townhouse,3413 Benton St,SANTA CLARA,CA,95051,774900,4,2.5,SANTA CLARA,1476,1537,1963,1,,,Sold,,,,,774900,2016-08-12,792000,http://www.redfin.com/CA/Santa-Clara/3413-Benton-St-95051/home/1498927,MLSListings Inc. (MLSLI),ML81591873,Coldwell Banker,N,Y,37.3462109,-121.9896213,FALSE
Past Sale,Single Family Residential,3599 Sunnydays Ln,SANTA CLARA,CA,95051,899900,3,2,SANTA CLARA,1603,2652,1998,2,Garage,,Sold,,,,2016-05-11,918000,2016-08-22,870000,http://www.redfin.com/CA/Santa-Clara/3599-Sunnydays-Ln-95051/home/1211322,MLSListings Inc. (MLSLI),ML81582609,Intero Real Estate Services,N,Y,37.3560231,-121.9955907,FALSE
Past Sale,Single Family Residential,1636 Vireo Ave,SUNNYVALE,CA,94087,1388000,3,2,SUNNYVALE,1448,6198,1957,2,Garage,,Sold,,,,,1388000,2016-08-26,1400000,http://www.redfin.com/CA/Sunnyvale/1636-Vireo-Ave-94087/home/764285,MLSListings Inc. (MLSLI),ML81594902,Keller Williams Realty-Silicon Valley,N,Y,37.339049,-121.999387,FALSE
Past Sale,Single Family Residential,1162 London Ave,SUNNYVALE,CA,94087,1330888,3,2,SUNNYVALE,1448,6525,1955,2,Garage,,Sold,,,,,1330888,2016-09-02,1290000,http://www.redfin.com/CA/Sunnyvale/1162-London-Ave-94087/home/1264920,MLSListings Inc. (MLSLI),ML81597537,Today Sothebys International Realty,N,Y,37.338073,-121.998248,FALSE
Past Sale,Townhouse,2548 Sandhill Way,SANTA CLARA,CA,95051,799999,3,2.5,SANTA CLARA,1369,1608,1973,2,Garage,,Sold,,,,,799999,2016-05-25,881000,http://www.redfin.com/CA/Santa-Clara/2548-Sandhill-Way-95051/home/674717,MLSListings Inc. (MLSLI),ML81578007,RezRealty,N,Y,37.3668837,-121.9725016,FALSE
Past Sale,Single Family Residential,1734 Franck Ave,SANTA CLARA,CA,95051,839000,3,1,SANTA CLARA,1038,5656,1953,2,Garage,,Sold,,,,,839000,2016-06-28,838888,http://www.redfin.com/CA/Santa-Clara/1734-Franck-Ave-95051/home/1559603,MLSListings Inc. (MLSLI),ML81587162,MGM Real Estate,N,Y,37.3543651,-121.970393,FALSE
Past Sale,Single Family Residential,2165 Amethyst Dr,SANTA CLARA,CA,95051,1019000,3,2,SANTA CLARA,1625,5501,1958,2,Garage,,Sold,,,,,990000,2016-07-05,1025000,http://www.redfin.com/CA/Santa-Clara/2165-Amethyst-Dr-95051/home/673957,MLSListings Inc. (MLSLI),ML81576993,RE/MAX Gold,N,Y,37.362022,-121.976948,FALSE
Past Sale,Single Family Residential,1992 Bowers Ave,SANTA CLARA,CA,95051,949000,4,2,SANTA CLARA,1158,5797,1960,4,Garage,,Sold,,,,,949000,2016-08-09,955000,http://www.redfin.com/CA/Santa-Clara/1992-Bowers-Ave-95051/home/677151,MLSListings Inc. (MLSLI),ML81582692,Grobecker Real Estate,N,Y,37.3592424,-121.9772389,FALSE
