SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Condo/Coop,891 W California Ave Unit N,SUNNYVALE,CA,94086,574900,2,1.5,SUNNYVALE,760,2003,1983,1,Garage,,Sold,,,,2016-03-02,599900,2016-05-04,560000,http://www.redfin.com/CA/Sunnyvale/891-W-California-Ave-94086/unit-N/home/102188027,MLSListings Inc. (MLSLI),ML81534458,Loans Realty Group,N,Y,37.383969,-122.039981,false
Past Sale,Condo/Coop,695 S Knickerbocker Dr #24,SUNNYVALE,CA,94087,699800,2,2.0,SUNNYVALE,945,1428,1986,2,Garage,,Sold,,,,,699800,2016-06-29,755000,http://www.redfin.com/CA/Sunnyvale/695-S-Knickerbocker-Dr-94087/unit-24/home/1327421,MLSListings Inc. (MLSLI),ML81577288,Intero Real Estate Services,N,Y,37.371741,-122.060009,false
Past Sale,Townhouse,705 W Fremont Ave #2,SUNNYVALE,CA,94087,749999,2,2.0,SUNNYVALE,926,527,1988,2,Garage,,Sold,,,,2016-05-06,899000,2016-07-06,725000,http://www.redfin.com/CA/Sunnyvale/705-W-Fremont-Ave-94087/unit-2/home/1137946,MLSListings Inc. (MLSLI),ML81579833,Synergy3,N,Y,37.352474,-122.041736,false
Past Sale,Condo/Coop,962 Belmont Ter #8,SUNNYVALE,CA,94086,799000,2,2.5,SUNNYVALE,1329,616,1986,2,Garage,,Sold,,,,,799000,2016-08-05,790000,http://www.redfin.com/CA/Sunnyvale/962-Belmont-Ter-94086/unit-8/home/621397,MLSListings Inc. (MLSLI),ML81591836,Sereno Group,N,Y,37.3839444,-122.0414356,false
Past Sale,Townhouse,10421 Mary,CUPERTINO,CA,95014,899000,2,1.5,CUPERTINO,1216,1600,1971,1,Garage,,Sold,,,,,899000,2016-08-05,925000,http://www.redfin.com/CA/Cupertino/10421-Mary-Ave-95014/home/1178490,MLSListings Inc. (MLSLI),ML81592069,Coldwell Banker,N,Y,37.329962,-122.051338,false
Past Sale,Townhouse,1175 Blackberry Ter,SUNNYVALE,CA,94087,898000,2,2.0,SUNNYVALE,1374,2609,1973,0,,,Sold,,,,2016-07-05,998000,2016-08-16,911000,http://www.redfin.com/CA/Sunnyvale/1175-Blackberry-Ter-94087/home/1524467,MLSListings Inc. (MLSLI),ML81589271,Coldwell Banker,N,Y,37.356204,-122.060598,false
Past Sale,Townhouse,585 San Remi Ter,SUNNYVALE,CA,94085,799000,2,2.5,SUNNYVALE,1239,1080,2011,60,Garage,,Sold,,,,2016-05-24,865000,2016-06-27,890000,http://www.redfin.com/CA/Sunnyvale/585-San-Remi-Ter-94085/unit-53/home/41395950,MLSListings Inc. (MLSLI),ML81582630,Intero Real Estate Services,N,Y,37.3877365,-122.0029551,false
Past Sale,Condo/Coop,905 Sunrose Ter #309,SUNNYVALE,CA,94086,779000,2,2.0,SUNNYVALE,1170,1332,1994,2,Garage,,Sold,,,,,779000,2016-07-15,875000,http://www.redfin.com/CA/Sunnyvale/905-Sunrose-Ter-94086/unit-309/home/1602506,MLSListings Inc. (MLSLI),ML81590904,Smart Realty,N,Y,37.3542168,-122.012938,false
Past Sale,Townhouse,979 Pinto Palm Ter #27,SUNNYVALE,CA,94087,749000,2,2.0,SUNNYVALE,1191,620,1995,1,Garage,,Sold,,,,2016-05-27,74900000,2016-08-04,765000,http://www.redfin.com/CA/Sunnyvale/979-Pinto-Palm-Ter-94087/unit-27/home/883629,MLSListings Inc. (MLSLI),ML81587830,Coldwell Banker,N,Y,37.3525487,-122.0089156,false
Past Sale,Townhouse,658 N Ahwanee Ter,SUNNYVALE,CA,94085,699000,2,2.5,SUNNYVALE,1349,1089,1979,2,Garage,,Sold,,,,,699000,2016-08-05,750000,http://www.redfin.com/CA/Sunnyvale/658-N-Ahwanee-Ter-94085/home/1655614,MLSListings Inc. (MLSLI),ML81592838,Realty World – Equity Solutions,N,Y,37.394302,-122.010754,false
Past Sale,Condo/Coop,1083 Reed Ave Unit C,SUNNYVALE,CA,94086,441000,2,1.0,SUNNYVALE,917,775,1972,0,,,Sold,,,,2016-08-06,441000,2016-08-04,579000,http://www.redfin.com/CA/Sunnyvale/1083-Reed-Ave-94086/unit-C/home/880674,MLSListings Inc. (MLSLI),ML81588179,Better Homes & Gardens Real EstateVentura Barnett,N,Y,37.36712,-121.999832,false
Past Sale,Condo/Coop,1750 Halford Ave #207,SANTA CLARA,CA,95051,519000,2,2.0,SANTA CLARA,1032,1555,1970,0,,,Sold,,,,2016-06-30,525000,2016-08-15,530000,http://www.redfin.com/CA/Santa-Clara/1750-Halford-Ave-95051/unit-207/home/1685060,MLSListings Inc. (MLSLI),ML81590222,Alain Pinel Realtors,N,Y,37.3557149,-121.998715,false
Past Sale,Townhouse,568 Monterey Ter,SUNNYVALE,CA,94089,983000,2,2.5,SUNNYVALE,1576,1066,2004,2,Garage,,Sold,,,,,983000,2016-08-18,1000000,http://www.redfin.com/CA/Sunnyvale/568-Monterey-Ter-94089/home/1261515,MLSListings Inc. (MLSLI),ML81595553,Coldwell Banker-The Real Estate People,N,Y,37.4024548,-122.011991,false
Past Sale,Single Family Residential,954 Marion Way,SUNNYVALE,CA,94087,1250000,2,1.0,SUNNYVALE,1102,9422,1950,0,,,Sold,,,,,1250000,2016-08-30,1380000,http://www.redfin.com/CA/Sunnyvale/954-Marion-Way-94087/home/1118507,MLSListings Inc. (MLSLI),ML81597992,A to B Realty,N,Y,37.3453679,-122.0114553,false
