SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Multi-Family (2-4 Unit),913-915 Miller Ave,CUPERTINO,CA,95014,1548888,4,,CUPERTINO,2082,6900,1962,2,Garage,1,Active,,,,,1548888,2013-10-18,1165000.0,http://www.redfin.com/CA/Cupertino/915-Miller-Ave-95014/home/847760,MLSListings Inc. (MLSLI),ML81590693,Intero Real Estate Services,N,Y,37.312109,-122.013788,false
MLS Listing,Townhouse,10338 Lozano Ln,CUPERTINO,CA,95014,1499000,4,3.0,CUPERTINO,2012,3249,2003,2,Garage,1,Active,2016-06-17,11:00,14:00,,1499000,2006-05-24,1010000.0,http://www.redfin.com/CA/Cupertino/10338-Lozano-Ln-95014/home/1408287,MLSListings Inc. (MLSLI),ML81590676,Coldwell Banker,N,Y,37.3197202,-122.0251843,false
MLS Listing,Townhouse,21056 White Fir Ct,CUPERTINO,CA,95014,875000,2,1.5,CUPERTINO,1003,,1971,1,Garage,1,Active,2016-06-16,9:30,12:30,,875000,,,http://www.redfin.com/CA/Cupertino/21056-White-Fir-Ct-95014/home/801254,MLSListings Inc. (MLSLI),ML81590637,Coldwell Banker,N,Y,37.3134469,-122.04236,false
MLS Listing,Single Family Residential,22661 San Juan Rd,CUPERTINO,CA,95014,2998000,5,3.5,CUPERTINO,3273,29098,2011,3,Garage,1,Active,2016-06-18,13:00,16:00,,2998000,2008-09-19,990000.0,http://www.redfin.com/CA/Cupertino/22661-San-Juan-Rd-95014/home/21840744,MLSListings Inc. (MLSLI),ML81590614,Sereno Group,N,Y,37.312198,-122.071201,false
MLS Listing,Single Family Residential,10367 San Fernando Ave,CUPERTINO,CA,95014,1850000,2,2.0,CUPERTINO,1550,10201,1957,2,Garage,2,Active,2016-06-18,13:00,16:00,,1850000,,,http://www.redfin.com/CA/Cupertino/10367-San-Fernando-Ave-95014/home/1615496,MLSListings Inc. (MLSLI),ML81590418,Keller Williams Realty-Silicon Valley,N,Y,37.3172785,-122.0597234,false
MLS Listing,Single Family Residential,21980 McClellan Rd,CUPERTINO,CA,95014,1888000,4,2.5,CUPERTINO,1838,7500,1962,5,Garage,3,Active,2016-06-18,13:00,16:00,,1888000,2015-03-24,1838000.0,http://www.redfin.com/CA/Cupertino/21980-McClellan-Rd-95014/home/1510693,MLSListings Inc. (MLSLI),ML81590232,Altas Realty,N,Y,37.3147382,-122.0588095,false
MLS Listing,Single Family Residential,18460 Farmingham Way,CUPERTINO,CA,95014,1895000,4,3.0,CUPERTINO,2816,5684,1990,2,Garage,5,Active,2016-06-18,14:00,16:00,,1895000,2007-09-11,1461000.0,http://www.redfin.com/CA/Cupertino/18460-Farmingham-Way-95014/home/926784,MLSListings Inc. (MLSLI),ML81590124,Sereno Group,N,Y,37.311645,-121.997815,false
MLS Listing,Single Family Residential,18841 Barnhart Ave,CUPERTINO,CA,95014,1238000,2,1.0,CUPERTINO,814,5353,1953,1,Garage,5,Active,2016-06-16,9:30,12:30,,1238000,1983-03-01,70000.0,http://www.redfin.com/CA/Cupertino/18841-Barnhart-Ave-95014/home/1805365,MLSListings Inc. (MLSLI),ML81590087,Maxreal,N,Y,37.315692,-122.00142,false
MLS Listing,Single Family Residential,10263 Miner Pl,CUPERTINO,CA,95014,1680000,3,2.0,CUPERTINO,1862,6608,1977,2,Garage,5,Active,,,,,1680000,1995-09-18,415000.0,http://www.redfin.com/CA/Cupertino/10263-Miner-Pl-95014/home/1475601,MLSListings Inc. (MLSLI),ML81589989,Coldwell Banker,N,Y,37.3269019,-122.030778,false
MLS Listing,Condo/Coop,10421 Mary Ave,CUPERTINO,CA,95014,998000,2,1.5,CUPERTINO,1216,1598,1971,1,Garage,7,Active,,,,,998000,1992-01-29,192000.0,http://www.redfin.com/CA/Cupertino/10421-Mary-Ave-95014/home/1178490,MLSListings Inc. (MLSLI),ML81589552,Coldwell Banker,N,Y,37.329962,-122.051338,false
MLS Listing,Single Family Residential,10251 Miller Ave,CUPERTINO,CA,95014,1438000,3,2.0,CUPERTINO,1540,4106,1976,2,Garage,7,Active,,,,,1348000,2010-09-17,780000.0,http://www.redfin.com/CA/Cupertino/10251-Miller-Ave-95014/home/1487505,MLSListings Inc. (MLSLI),ML81589548,Coldwell Banker,N,Y,37.3193982,-122.0141394,false
MLS Listing,Townhouse,21694 Olive Ave,CUPERTINO,CA,95014,1139888,2,2.5,CUPERTINO,1499,1579,1985,1,Garage,7,Active,2016-06-18,13:00,16:00,2016-06-15,1180000,2012-11-20,815000.0,http://www.redfin.com/CA/Cupertino/21694-Olive-Ave-95014/home/783467,MLSListings Inc. (MLSLI),ML81589487,Bay Realty Group,N,Y,37.3188665,-122.054293,false
MLS Listing,Townhouse,20151 Northwood Dr,CUPERTINO,CA,95014,989000,2,2.0,CUPERTINO,1142,1440,1973,2,Garage,8,Active,2016-06-17,17:30,19:30,,989000,,,http://www.redfin.com/CA/Cupertino/20151-Northwood-Dr-95014/home/1061913,MLSListings Inc. (MLSLI),ML81589466,Intero Real Estate Services,N,Y,37.334942,-122.026918,false
MLS Listing,Single Family Residential,10200 Empire Ave,CUPERTINO,CA,95014,1200000,5,3.5,CUPERTINO,2643,4855,2016,2,Garage,9,Active,,,,,1200000,2015-07-15,950000.0,http://www.redfin.com/CA/Cupertino/10200-Empire-Ave-95014/home/17293475,MLSListings Inc. (MLSLI),ML81589183,"Devi Strass, Broker",N,Y,37.325798,-122.051925,false
MLS Listing,Townhouse,22270 Homestead Rd,CUPERTINO,CA,95014,1095000,3,2.5,CUPERTINO,1254,1700,1973,2,Garage,12,Active,,,,2016-06-03,1099888,2005-05-27,655000.0,http://www.redfin.com/CA/Cupertino/22270-Homestead-Rd-95014/home/1417732,MLSListings Inc. (MLSLI),ML81588909,Referral Realty,N,Y,37.337214,-122.064576,false
MLS Listing,Condo/Coop,10232 Nile Dr,CUPERTINO,CA,95014,768000,1,1.0,CUPERTINO,884,1056,1986,2,Garage,12,Active,,,,,768000,2013-06-07,560000.0,http://www.redfin.com/CA/Cupertino/10232-Nile-Dr-95014/home/789974,MLSListings Inc. (MLSLI),ML81588789,Silicon Valley Associates Inc.,N,Y,37.320372,-122.027272,false
MLS Listing,Single Family Residential,866 Bette Ave,CUPERTINO,CA,95014,2100000,4,3.0,CUPERTINO,2046,6000,1958,2,Garage,14,Active,,,,,2100000,2008-03-25,920000.0,http://www.redfin.com/CA/Cupertino/866-Bette-Ave-95014/home/788801,MLSListings Inc. (MLSLI),ML81588363,"Davey & Associates Real Estate, Inc.",N,Y,37.313975,-122.021005,false
MLS Listing,Single Family Residential,10313 Blaney Ct,CUPERTINO,CA,95014,1898000,4,2.5,CUPERTINO,2269,8925,1968,2,Garage,14,Active,,,,,1898000,,,http://www.redfin.com/CA/Cupertino/10313-Blaney-Ct-95014/home/1516509,MLSListings Inc. (MLSLI),ML81588293,Intero Real Estate Services,N,Y,37.3182029,-122.023794,false
MLS Listing,Condo/Coop,10355 Mary Ave,CUPERTINO,CA,95014,959000,2,1.5,CUPERTINO,1216,1600,1971,1,Garage,14,Active,,,,,959000,2006-03-22,599000.0,http://www.redfin.com/CA/Cupertino/10355-Mary-Ave-95014/home/1696714,MLSListings Inc. (MLSLI),ML81588279,Home Advantage Corp,N,Y,37.329254,-122.051379,false
