SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
New Construction Plan,Single Family Residential,Viewpoint Plan A,Mountain View,CA,94043,1040000,2,2.5,Viewpoint,1323,,,2,Garage,121,Active,,,,2016-05-20,1090000,,,http://www.redfin.com/CA/Mountain-View/Viewpoint/Viewpoint-Plan-A/home/103776453,Builder Digital eXperience (BDX),Plan-1199828,NewHomeSource.com,N,Y,37.405412,-122.06447,false
MLS Listing,Condo/Coop,181 Del Medio Ave #111,MOUNTAIN VIEW,CA,94040,430000,0,1.0,MOUNTAIN VIEW,576,574,1962,0,,38,Active,,,,,430000,1992-12-02,82500.0,http://www.redfin.com/CA/Mountain-View/181-Del-Medio-Ave-94040/unit-111/home/2121230,MLSListings Inc. (MLSLI),ML81583868,Rosso Real Estate Inc,N,Y,37.4082939,-122.1114531,false
MLS Listing,Single Family Residential,1738 Pilgrim Ave,MOUNTAIN VIEW,CA,94040,2285000,2,1.0,MOUNTAIN VIEW,1193,11099,1949,2,Garage,16,Active,,,,,2285000,,,http://www.redfin.com/CA/Mountain-View/1738-Pilgrim-Ave-94040/home/1459665,MLSListings Inc. (MLSLI),ML81587704,KW Bay Area Estates,N,Y,37.389665,-122.097813,false
MLS Listing,Condo/Coop,500 W Middlefield Rd #89,MOUNTAIN VIEW,CA,94043,699000,2,2.0,MOUNTAIN VIEW,1158,1999,1971,0,,48,Active,,,,2016-06-06,739000,1988-05-17,107000.0,http://www.redfin.com/CA/Mountain-View/500-W-Middlefield-Rd-94043/unit-89/home/1707757,MLSListings Inc. (MLSLI),ML81582089,Kurniadi Realty,N,Y,37.4003794,-122.0711658,false
New Construction Plan,Single Family Residential,Plan 3,Mountain View,CA,94043,1288990,2,2.5,Newton Square,1423,,,2,Garage,81,Active,,,,,1249990,,,http://www.redfin.com/CA/Mountain-View/Newton-Square/Plan-3/home/104232872,DR Horton,Plan-255479,DR Horton,N,Y,37.4155867,-122.0922956,false
MLS Listing,Condo/Coop,1915 Mount Vernon Ct #7,MOUNTAIN VIEW,CA,94040,550000,1,1.0,MOUNTAIN VIEW,896,1197,1964,1,Garage,2,Active,,,,,550000,2002-07-31,274500.0,http://www.redfin.com/CA/Mountain-View/1915-Mount-Vernon-Ct-94040/unit-7/home/616673,MLSListings Inc. (MLSLI),ML81590046,Coldwell Banker,N,Y,37.3957089,-122.095504,false
MLS Listing,Condo/Coop,1915 Mount Vernon Ct #10,MOUNTAIN VIEW,CA,94040,529900,1,1.0,MOUNTAIN VIEW,864,1200,1964,1,Garage,2,Active,,,,,529900,1975-01-01,26900.0,http://www.redfin.com/CA/Mountain-View/1915-Mount-Vernon-Ct-94040/unit-10/home/616689,MLSListings Inc. (MLSLI),ML81590045,Intero Real Estate Services,N,Y,37.3957089,-122.095504,false
MLS Listing,Condo/Coop,2025 California St #45,MOUNTAIN VIEW,CA,94040,560000,1,1.0,MOUNTAIN VIEW,668,718,1965,1,Garage,1,Active,,,,,560000,2015-09-01,460000.0,http://www.redfin.com/CA/Mountain-View/2025-California-St-94040/unit-45/home/618137,MLSListings Inc. (MLSLI),ML81590170,Rational Real Estate,N,Y,37.3979,-122.0983415,false
MLS Listing,Condo/Coop,500 W Middlefield Rd #3,MOUNTAIN VIEW,CA,94043,750000,2,2.0,MOUNTAIN VIEW,1136,1999,1971,0,,10,Active,,,,,750000,1996-04-10,143500.0,http://www.redfin.com/CA/Mountain-View/500-W-Middlefield-Rd-94043/unit-3/home/1561725,MLSListings Inc. (MLSLI),ML81588499,Intero Real Estate Services,N,Y,37.401406825,-122.0702666,false
MLS Listing,Townhouse,1983 San Luis Ave #30,MOUNTAIN VIEW,CA,94043,998000,2,2.5,MOUNTAIN VIEW,1171,936,1984,1,Garage,27,Active,,,,,998000,2013-06-28,710000.0,http://www.redfin.com/CA/Mountain-View/1983-San-Luis-Ave-94043/unit-30/home/1652665,MLSListings Inc. (MLSLI),ML81585842,Legacy Real Estate & Assoc.,N,Y,37.407341,-122.092735,false
MLS Listing,Condo/Coop,264 N Whisman Rd #23,MOUNTAIN VIEW,CA,94043,659000,2,1.0,MOUNTAIN VIEW,1087,3136,1978,0,,7,Active,,,,,659000,2013-10-01,395000.0,http://www.redfin.com/CA/Mountain-View/264-N-Whisman-Rd-94043/unit-23/home/1575476,MLSListings Inc. (MLSLI),ML81589028,Century 21-Alpha,N,Y,37.3962971,-122.0606227,false
MLS Listing,Condo/Coop,255 S Rengstorff Ave #123,MOUNTAIN VIEW,CA,94040,699000,2,1.0,MOUNTAIN VIEW,935,1395,1965,0,,5,Active,,,,,699000,2004-05-13,320000.0,http://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-123/home/688739,MLSListings Inc. (MLSLI),ML81589360,Coldwell Banker,N,Y,37.399553,-122.098889,false
Past Sale,Condo/Coop,328 Bryant St,MOUNTAIN VIEW,CA,94041,1849888,2,2.5,MOUNTAIN VIEW,1780,1611,2014,2,Garage,,Sold,,,,2016-04-02,1988888,2016-04-22,1840000.0,http://www.redfin.com/CA/Mountain-View/328-Bryant-St-94041/home/57126993,MLSListings Inc. (MLSLI),ML81546469,Realty One Group Infinity,N,Y,37.3926023,-122.0811193,false
Past Sale,Condo/Coop,110 E Middlefield Rd Unit C,MOUNTAIN VIEW,CA,94043,699000,2,1.0,MOUNTAIN VIEW,917,910,1972,1,Garage,,Sold,,,,,699000,2016-04-28,750000.0,http://www.redfin.com/CA/Mountain-View/110-E-Middlefield-Rd-94043/unit-C/home/1391850,MLSListings Inc. (MLSLI),ML81564397,WDB REALTY AND FINANCE INC.,N,Y,37.398693,-122.062882,false
Past Sale,Condo/Coop,725 Mariposa Ave #101,MOUNTAIN VIEW,CA,94041,749500,2,2.0,MOUNTAIN VIEW,1079,1511,1974,1,Garage,,Sold,,,,,749500,2016-05-17,800000.0,http://www.redfin.com/CA/Mountain-View/725-Mariposa-Ave-94041/unit-101/home/578199,MLSListings Inc. (MLSLI),ML81578983,Intero Real Estate Services,N,Y,37.3905779,-122.0917281,false
Past Sale,Single Family Residential,1385 Snow St,MOUNTAIN VIEW,CA,94041,1099000,2,1.0,MOUNTAIN VIEW,864,5000,1946,1,Garage,,Sold,,,,,1099000,2016-05-27,1450000.0,http://www.redfin.com/CA/Mountain-View/1385-Snow-St-94041/home/1690833,MLSListings Inc. (MLSLI),ML81580797,Alain Pinel Realtors,N,Y,37.3898825,-122.0893236,false
Past Sale,Condo/Coop,49 Showers Dr Unit J217,MOUNTAIN VIEW,CA,94040,738000,2,2.0,MOUNTAIN VIEW,1206,1880,1977,1,Garage,,Sold,,,,,738000,2016-05-31,850000.0,http://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-J217/home/2120972,MLSListings Inc. (MLSLI),ML81582859,Coldwell Banker,N,Y,37.4044647,-122.1037402,false
Past Sale,Condo/Coop,49 Showers Dr Unit N268,MOUNTAIN VIEW,CA,94040,899000,2,2.0,MOUNTAIN VIEW,1206,1880,1974,1,Garage,,Sold,,,,,899000,2016-06-03,890000.0,http://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-N268/home/12171755,MLSListings Inc. (MLSLI),ML81586401,Keller Williams Palo Alto,N,Y,37.4044647,-122.1037402,false
Past Sale,Townhouse,1962 San Luis,MOUNTAIN VIEW,CA,94043,1270000,2,2.5,MOUNTAIN VIEW,1327,,2015,2,Garage,,Sold,,,,,1270000,2016-05-03,1284472.0,http://www.redfin.com/CA/Mountain-View/1962-San-Luis-Ave-94043/home/103506710,MLSListings Inc. (MLSLI),ML81548879,"Classic Communities, Inc.",N,Y,37.4079736,-122.0915995,false
Past Sale,Condo/Coop,2530 W Middlefield Rd,MOUNTAIN VIEW,CA,94043,791000,2,1.5,MOUNTAIN VIEW,968,1024,1976,1,,,Sold,,,,,791000,2016-04-20,850000.0,http://www.redfin.com/CA/Mountain-View/2530-W-Middlefield-Rd-94043/home/617508,MLSListings Inc. (MLSLI),ML81562771,Coldwell Banker,N,Y,37.4137274,-122.0990175,false
Past Sale,Townhouse,366 Sierra Vista Ave #12,MOUNTAIN VIEW,CA,94043,998000,2,2.5,MOUNTAIN VIEW,1478,2635,1986,2,Garage,,Sold,,,,2016-04-13,1095000,2016-05-24,990000.0,http://www.redfin.com/CA/Mountain-View/366-Sierra-Vista-Ave-94043/unit-12/home/1459136,MLSListings Inc. (MLSLI),ML81562296,Midtown Realty,N,Y,37.4072076,-122.0909395,false
