SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,2947 Marietta Dr,SANTA CLARA,CA,95051,1199000,3,2,SANTA CLARA,1465,5998,1958,2,Garage,20,Active,,,,2016-06-03,1275000,2007-06-30,"720,000",http://www.redfin.com/CA/Santa-Clara/2947-Marietta-Dr-95051/home/1034142,MLSListings Inc. (MLSLI),ML81586953,Intero Real Estate Services,N,Y,37.339841,-121.981194,FALSE
New Construction Plan,Single Family Residential,Turin Plan 2,Santa Clara,CA,95051,1018880,2,3,The Homes at Central Park,1723,,,2,Garage,81,Active,,,,2016-04-27,1159631,,,http://www.redfin.com/CA/Santa-Clara/The-Homes-at-Central-Park/Turin-Plan-2/home/104232824,DR Horton,Plan-205471,DR Horton,N,Y,37.3417059,-121.9823315,FALSE
MLS Listing,Single Family Residential,3010 Kaiser Dr,SANTA CLARA,CA,95051,1422990,3,2.5,SANTA CLARA,1762,1762,2014,2,Garage,12,Active,,,,,1422990,,,http://www.redfin.com/CA/Santa-Clara/3010-Kaiser-Dr-95051/home/95957640,MLSListings Inc. (MLSLI),ML81588201,"Bair Properties, Inc.",N,Y,37.3418506,-121.9811583,FALSE
MLS Listing,Single Family Residential,451 Tanoak Dr,SANTA CLARA,CA,95051,1538000,3,2,SANTA CLARA,2038,8566,1971,2,Garage,33,Active,,,,,1538000,2012-09-05,"876,000",http://www.redfin.com/CA/Santa-Clara/451-Tanoak-Dr-95051/home/1232761,MLSListings Inc. (MLSLI),ML81584627,Maxreal,N,Y,37.3315718,-121.9694971,FALSE
New Construction Plan,Single Family Residential,Siena Plan 2,Santa Clara,CA,95051,1422990,3,2.5,The Homes at Central Park,1762,,,2,Garage,31,Active,,,,,1422990,,,http://www.redfin.com/CA/Santa-Clara/The-Homes-at-Central-Park/Siena-Plan-2/home/104302074,DR Horton,Plan-285975,DR Horton,N,Y,37.3417059,-121.9823315,FALSE
MLS Listing,Condo/Coop,1037 Alta Mira Dr Unit A,SANTA CLARA,CA,95051,589999,2,2,SANTA CLARA,1067,1768,1971,0,,39,Active,,,,,589999,1974-03-01,"24,700",http://www.redfin.com/CA/Santa-Clara/1037-Alta-Mira-Dr-95051/unit-A/home/1382102,MLSListings Inc. (MLSLI),ML81583707,"Gary G. Gillmor, Broker",N,Y,37.346173,-121.993413,FALSE
MLS Listing,Condo/Coop,968 Kiely Blvd Unit H,SANTA CLARA,CA,95051,489000,2,1.5,SANTA CLARA,992,527,1971,1,Garage,23,Active,,,,,489000,2005-02-08,"365,000",http://www.redfin.com/CA/Santa-Clara/968-Kiely-Blvd-95051/unit-H/home/1713495,MLSListings Inc. (MLSLI),ML81586668,Intero  R E Services,N,Y,37.342825,-121.981137,FALSE
MLS Listing,Single Family Residential,692 Salberg Ave,SANTA CLARA,CA,95051,1349950,4,2,SANTA CLARA,2191,6039,1954,4,Garage,10,Active,,,,,1349950,2005-01-06,"650,000",http://www.redfin.com/CA/Santa-Clara/692-Salberg-Ave-95051/home/711290,MLSListings Inc. (MLSLI),ML81588515,RE/MAX Real Estate Services,N,Y,37.336574,-121.9718523,FALSE
MLS Listing,Townhouse,3001 Kaiser Dr Unit A,SANTA CLARA,CA,95051,529000,2,1.5,SANTA CLARA,992,528,1971,1,Garage,11,Active,,,,,529000,2014-12-31,"495,000",http://www.redfin.com/CA/Santa-Clara/3001-Kaiser-Dr-95051/unit-A/home/1765916,MLSListings Inc. (MLSLI),ML81588243,Prima Investment Group Inc.,N,Y,37.342083,-121.9811584,FALSE
MLS Listing,Condo/Coop,121 Buckingham Dr #43,SANTA CLARA,CA,95051,455000,1,1,SANTA CLARA,656,760,1969,0,,2,Active,,,,,455000,2000-02-23,"173,000",http://www.redfin.com/CA/Santa-Clara/121-Buckingham-Dr-95051/unit-43/home/1475059,MLSListings Inc. (MLSLI),ML81590130,Intero Real Estate Services,N,Y,37.325941,-121.9708105,FALSE
