SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
New Construction Plan,Single Family Residential,Plan 8,Sunnyvale,CA,94086,1225100,4,3.5,Sandalwood,1914,,,2,Garage,81,Active,,,,,1209990,,,http://www.redfin.com/CA/Sunnyvale/Sandalwood/Plan-8/home/104232848,DR Horton,Plan-262512,DR Horton,N,Y,37.373049,-122.015794,FALSE
MLS Listing,Single Family Residential,670 E DUANE Ave,SUNNYVALE,CA,94085,998888,4,2,SUNNYVALE,1389,5227,1953,0,,20,Active,,,,,998888,2011-12-02,"420,000",http://www.redfin.com/CA/Sunnyvale/670-E-Duane-Ave-94085/home/1576390,MLSListings Inc. (MLSLI),ML81587069,Realty Champion Inc,N,Y,37.388205,-122.013505,FALSE
MLS Listing,Single Family Residential,1050 Paintbrush Dr,SUNNYVALE,CA,94086,1498000,4,3,SUNNYVALE,2068,7442,1963,2,Garage,54,Active,,,,2016-05-19,1498000,1996-10-09,"313,000",http://www.redfin.com/CA/Sunnyvale/1050-Paintbrush-Dr-94086/home/1328001,MLSListings Inc. (MLSLI),ML81580927,Kurniadi Realty,N,Y,37.359285,-122.004825,FALSE
New Construction Plan,Townhouse,Arques Place - Residence 3A,Sunnyvale,CA,94085,1020000,4,3.5,Arques Place,1795,,,2,Garage,158,Active,,,,,1020000,,,http://www.redfin.com/CA/Sunnyvale/Arques-Place/Arques-Place-Residence-3A/home/102527935,NewHomeFeed,Plan-245793,NewHomeFeed,N,Y,37.382073,-122.017565,FALSE
MLS Listing,Single Family Residential,1355 Norman Dr,SUNNYVALE,CA,94087,1799000,4,2.5,SUNNYVALE,2652,9730,1950,2,Garage,36,Active,2016-06-18,13:00,16:00,2016-06-09,1849000,1997-06-17,"330,000",http://www.redfin.com/CA/Sunnyvale/1355-Norman-Dr-94087/home/1087693,MLSListings Inc. (MLSLI),ML81584337,Bayview Residential Brokerage,N,Y,37.349904,-122.010392,FALSE
MLS Listing,Single Family Residential,973 Bidwell Ave,SUNNYVALE,CA,94086,1595000,4,2,SUNNYVALE,1901,7500,1978,1,Garage,23,Active,,,,,1595000,2000-06-30,"680,000",http://www.redfin.com/CA/Sunnyvale/973-Bidwell-Ave-94086/home/1749084,MLSListings Inc. (MLSLI),ML81586675,Starriver Inc,N,Y,37.3817563,-122.0440267,FALSE
MLS Listing,Single Family Residential,1667 S Wolfe Rd,SUNNYVALE,CA,94087,1300000,4,2,SUNNYVALE,1308,5710,1959,2,Garage,1,Active,2016-06-18,13:30,16:30,,1300000,,,http://www.redfin.com/CA/Sunnyvale/1667-S-Wolfe-Rd-94087/home/1859787,MLSListings Inc. (MLSLI),ML81590157,Coldwell Banker,N,Y,37.339257,-122.014566,FALSE
MLS Listing,Single Family Residential,330 Polaris Ter,SUNNYVALE,CA,94086,1998888,5,3,SUNNYVALE,2421,2603,2016,2,Garage,44,Active,,,,,1998888,,,http://www.redfin.com/CA/SUNNYVALE/330-Polaris-Ter-94086/home/105435505,MLSListings Inc. (MLSLI),ML81582962,"Classic Communities, Inc.",N,Y,37.372781,-122.0342319,FALSE
MLS Listing,Single Family Residential,1460 Kyle Ct,SUNNYVALE,CA,94087,1998888,5,2.5,SUNNYVALE,2288,9021,1961,2,Garage,12,Active,,,,,1998888,2007-08-03,"1,500,500",http://www.redfin.com/CA/Sunnyvale/1460-Kyle-Ct-94087/home/1355160,MLSListings Inc. (MLSLI),ML81588002,Xc'lent Real Estate,N,Y,37.346074,-122.047995,FALSE
MLS Listing,Single Family Residential,1704 Laurentian Way,SUNNYVALE,CA,94087,1998000,5,3,SUNNYVALE,2433,12937,1968,2,Garage,4,Active,,,,,1998000,2011-04-12,"1,300,000",http://www.redfin.com/CA/Sunnyvale/1704-Laurentian-Way-94087/home/1644289,MLSListings Inc. (MLSLI),ML81589489,Today Sothebys International Realty,N,Y,37.337067,-122.0507,FALSE
